#####################################################################################,,,,,,
# Ribosomal Protein Mass Fractions in E. coli,,,,,,
# =================================================,,,,,,
# Collated measurements of the ribosomal protein proteome mass fraction in E. coli,,,,,,
# and the corresponding steady-state growth rate. Growth rates are  provided in ,,,,,,
"# inverse hours. The ""notes"" column provides details regarding where ",,,,,,
# the data came from in each source entry. ,,,,,,
#####################################################################################,,,,,,
growth_rate_hr,mass_fraction,source,method,notes,medium,rp_ratio
1.73286795139986,0.215,"Bremer & Dennis, 2008",,,AA,0.417633410672854
2.07944154168,0.2511737089,"Bremer & Dennis, 2008",,,LB,0.502347417840376
0.38,0.086,"Forchhammer & Lindahl, 1971",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,MIN,NA
0.6,0.102,"Forchhammer & Lindahl, 1971",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,MIN,NA
1.04,0.134,"Forchhammer & Lindahl, 1971",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,MIN,NA
1.46,0.192,"Forchhammer & Lindahl, 1971",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,AA,NA
1.73,0.214,"Forchhammer & Lindahl, 1971",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,Broth,NA
0.4,0.081,"Scott et al., 2010",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,MIN,NA
0.57,0.105,"Scott et al., 2010",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,MIN,NA
0.71,0.101,"Scott et al., 2010",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,AA,NA
1,0.131,"Scott et al., 2010",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,AA,NA
1.31,0.189,"Scott et al., 2010",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,RDM,NA
1.58,0.212,"Scott et al., 2010",Measurement of RNA to Protein ratio,Calculated from RNA/Protein ratio assuming 0.86 µg rRNA/1µg RNA and 0.53 µg ribosomal protein per 1µg rRNA,RDM,NA
0.409,0.077,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.409,0.086,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.492,0.095,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.492,0.1,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.513,0.067,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.478,0.077,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.478,0.081,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.679,0.048,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.866,0.123,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.866,0.135,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.866,0.137,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.943,0.149,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
0.943,0.163,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",MIN,NA
1.428,0.196,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",AA,NA
1.428,0.191,"Brunschede et al., 1977",Measurement of RNA to Protein Ratio,"Data recorded from Table 1, using conversion factor described in text. Mass fraction computed assuming conversion factor of RNA/protein * 0.4558 = mass fraction.",AA,NA
0.04,0.044,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.135,0.054,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.204,0.059,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.232,0.061,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.293,0.067,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.334,0.069,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.341,0.069,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.381,0.073,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.412,0.079,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.462,0.079,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.502,0.084,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.551,0.088,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.691,0.1,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.72,0.099,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.701,0.104,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.691,0.104,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.75,0.107,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.918,0.116,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.949,0.125,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.989,0.123,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.98,0.135,"Wu et al., 2022",Measurement of RNA to Protein Ratio,Data digitized from Fig. 3 C and converted to Ribosomal mass fraction,MOPS,NA
0.13,0.063,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.19,0.072,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.61,0.097,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.91,0.139,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.91,0.124,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.62,0.096,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.79,0.133,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),AA,NA
1.04,0.142,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),AA,NA
0.93,0.138,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),AA,NA
0.71,0.113,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.45,0.089,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.98,0.14,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel H),MIN,NA
0.06,0.06,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.16,0.065,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.25,0.073,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.4,0.084,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.29,0.074,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.43,0.086,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.55,0.103,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.31,0.1,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.79,0.129,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.18,0.059,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.32,0.078,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.38,0.086,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.57,0.105,"Erickson et al., 2017",Measurement of RNA to Protein Ratio using their conversion factor,Taken from table in FigS1 (panel I). This are different strains than panel H,MIN,NA
0.091,0.0726436860017846,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_C_01,NA
0.3,0.0789628267356524,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_C_03,NA
0.47,0.100846724966711,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_C_05,NA
0.62,0.113372083792723,"Li et al., 2018","Measurement of RNA to Protein Ratio taken from supplemental table 2, converted to mass fraction using a conversion factor",,WT_C_07,NA
