#####################################################################################,,,,,,
# Ribosomal Protein Mass Fractions in E. coli,,,,,,
# =================================================,,,,,,
# Collated measurements of the ribosomal protein proteome mass fraction in E. coli,,,,,,
# and the corresponding steady-state growth rate. Growth rates are  provided in ,,,,,,
"# inverse hours. The ""notes"" column provides details regarding where ",,,,,,
# the data came from in each source entry. ,,,,,,
#####################################################################################,,,,,,
growth_rate_hr,mass_fraction,source,method,notes,medium,rp_ratio
0.45,0.0777753968253968,"Basan et al., 2015",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S4,MIN,0.170634920634921
0.42,0.0770546803069054,"Basan et al., 2015",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S4,MIN,0.169053708439898
0.419763360996177,0.07785785595955,"Zhu & Dai, 2019",Measurement of RNA to Protein ratio,Data digitized from Fig 2D,OTHER,0.170815831416301
0.460810099947396,0.0806663686826258,"Zhu & Dai, 2019",Measurement of RNA to Protein ratio,Data digitized from Fig 2D,OTHER,0.176977553055344
0.690806880903217,0.102401566025737,"Zhu & Dai, 2019",Measurement of RNA to Protein ratio,Data digitized from Fig 2D,OTHER,0.224663374343434
0.974286903200986,0.133236516366092,"Zhu & Dai, 2019",Measurement of RNA to Protein ratio,Data digitized from Fig 2D,OTHER,0.292313550605731
1.36435654447384,0.165505783601718,"Zhu & Dai, 2019",Measurement of RNA to Protein ratio,Data digitized from Fig 2D,OTHER,0.363110538836591
1.8285898231096,0.215264555654133,"Zhu & Dai, 2019",Measurement of RNA to Protein ratio,Data digitized from Fig 2D,LB,0.472278533686119
2.0023,0.196499938,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.9522,0.220101262,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.75155,0.12657566,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0344,0.130741672,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.56926,0.116620988,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.75501,0.087891914,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.8144,0.19959482,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.8154,0.215329036,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.4587,0.163422532,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.2686,0.139570518,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.88083,0.121876362,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.65611,0.097582222,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.59741,0.0900205,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
2.1133,0.169749036,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.8779,0.157004868,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.4313,0.130012392,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.2541,0.125609364,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0632,0.115372096,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.75406,0.094596732,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.78904,0.104045466,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.8088,0.21452227,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.5663,0.172319748,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1517,0.135240418,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1026,0.115162428,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.62786,0.11590994,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7342,0.176276092,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1273,0.122195422,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.83602,0.133244014,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.70943,0.09574079,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.39136,0.070092924,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7854,0.20287658,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0818,0.146890666,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.83287,0.13117924,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.73618,0.073215154,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.69244,0.099428212,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.31271,0.067472074,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7662,0.20606718,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0637,0.13029043,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.80028,0.13022206,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.82842,0.13101971,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.70978,0.068556878,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.66856,0.099268682,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.4499,0.075421226,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.6541,0.158445196,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.4993,0.158832626,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.72045,0.124556466,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0654,0.110545174,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.82866,0.048232756,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.75346,0.07668835,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.41312,0.062567666,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7479,0.227895442,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.4982,0.191394978,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.3375,0.171704418,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0379,0.16821299,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.79254,0.124629394,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.75655,0.125089752,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.34007,0.089122574,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1988,0.125180912,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1731,0.121680368,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.2352,0.126110744,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7573,0.190323848,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7095,0.210401838,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.9438,0.195916514,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7703,0.20495047,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7077,0.17258867,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.3168,0.147592598,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.4475,0.170337018,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.3448,0.201240258,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.503,0.171617816,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.5053,0.183441268,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.2583,0.19002302,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.3125,0.144278932,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1146,0.133353406,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1547,0.1424375,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0276,0.127095272,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.058,0.110814096,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1048,0.147191494,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.0261,0.118357586,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.70007,0.176777472,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.75945,0.087837218,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.64728,0.095663304,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.64552,0.08564482,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.6694,0.087960284,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.35841,0.068538646,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.2071,0.116210768,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
0.64317,0.068538646,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.7284,0.19227923,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
1.1884,0.119392252,"Si et al., 2017",Measurement of RNA to Protein ratio,"Data calculated from supplemental data file, considering only NCM3722 and MG1655 nutrient limitation and 0 antibiotics",OTHER,NA
