"","mu","phi_Rb","name","source","color","shape"
"29",0.285,0.067,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"30",0.336,0.069,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"31",0.407,0.078,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"32",0.418,0.077,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"33",0.452,0.078,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"34",0.486,0.083,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"35",0.55,0.086,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"36",0.673,0.098,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"37",0.686,0.098,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"38",0.7,0.098,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"39",0.717,0.098,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"40",0.744,0.106,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"41",0.918,0.115,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"42",0.945,0.124,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"43",0.993,0.121,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"44",0.975,0.134,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"45",1.098,0.139,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"46",1.162,0.15,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"47",1.268,0.165,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"48",1.567,0.201,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"49",1.795,0.218,"Chure & Cremer 2023","Dai et al., 2016","#1B9E77",4
"50",0.415888308335967,0.091,"Chure & Cremer 2023","Bremer & Dennis, 2008","#1B9E77",5
"51",0.693147180559945,0.103,"Chure & Cremer 2023","Bremer & Dennis, 2008","#1B9E77",5
"52",1.03972077083992,0.151,"Chure & Cremer 2023","Bremer & Dennis, 2008","#1B9E77",5
"53",1.38629436111989,0.178,"Chure & Cremer 2023","Bremer & Dennis, 2008","#1B9E77",5
"54",1.73286795139986,0.215,"Chure & Cremer 2023","Bremer & Dennis, 2008","#1B9E77",5
"55",2.07944154168,0.2511737089,"Chure & Cremer 2023","Bremer & Dennis, 2008","#1B9E77",5
"56",0.38,0.086,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971","#1B9E77",6
"57",0.6,0.102,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971","#1B9E77",6
"58",1.04,0.134,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971","#1B9E77",6
"59",1.46,0.192,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971","#1B9E77",6
"60",1.73,0.214,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971","#1B9E77",6
"61",0.4,0.081,"Chure & Cremer 2023","Scott et al., 2010","#1B9E77",7
"62",0.57,0.105,"Chure & Cremer 2023","Scott et al., 2010","#1B9E77",7
"63",0.71,0.101,"Chure & Cremer 2023","Scott et al., 2010","#1B9E77",7
"64",1,0.131,"Chure & Cremer 2023","Scott et al., 2010","#1B9E77",7
"65",1.31,0.189,"Chure & Cremer 2023","Scott et al., 2010","#1B9E77",7
"66",1.58,0.212,"Chure & Cremer 2023","Scott et al., 2010","#1B9E77",7
"67",0.409,0.077,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"68",0.409,0.086,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"69",0.492,0.095,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"70",0.492,0.1,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"71",0.513,0.067,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"72",0.478,0.077,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"73",0.478,0.081,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"74",0.679,0.048,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"75",0.866,0.123,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"76",0.866,0.135,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"77",0.866,0.137,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"78",0.943,0.149,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"79",0.943,0.163,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"80",1.428,0.196,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"81",1.428,0.191,"Chure & Cremer 2023","Brunschede et al., 1977","#1B9E77",8
"82",0.04,0.044,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"83",0.135,0.054,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"84",0.204,0.059,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"85",0.232,0.061,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"86",0.293,0.067,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"87",0.334,0.069,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"88",0.341,0.069,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"89",0.381,0.073,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"90",0.412,0.079,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"91",0.462,0.079,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"92",0.502,0.084,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"93",0.551,0.088,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"94",0.691,0.1,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"95",0.72,0.099,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"96",0.701,0.104,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"97",0.691,0.104,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"98",0.75,0.107,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"99",0.918,0.116,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"100",0.949,0.125,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"101",0.989,0.123,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"102",0.98,0.135,"Chure & Cremer 2023","Wu et al., 2022","#1B9E77",9
"103",0.13,0.063,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"104",0.19,0.072,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"105",0.61,0.097,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"106",0.91,0.139,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"107",0.91,0.124,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"108",0.62,0.096,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"109",0.79,0.133,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"110",1.04,0.142,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"111",0.93,0.138,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"112",0.71,0.113,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"113",0.45,0.089,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"114",0.98,0.14,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"115",0.06,0.06,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"116",0.16,0.065,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"117",0.25,0.073,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"118",0.4,0.084,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"119",0.29,0.074,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"120",0.43,0.086,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"121",0.55,0.103,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"122",0.31,0.1,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"123",0.79,0.129,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"124",0.18,0.059,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"125",0.32,0.078,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"126",0.38,0.086,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"127",0.57,0.105,"Chure & Cremer 2023","Erickson et al., 2017","#1B9E77",10
"128",0.091,0.0726436860017846,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"129",0.3,0.0789628267356524,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"130",0.47,0.100846724966711,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"131",0.62,0.113372083792723,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"132",0.091,0.071924986072423,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"133",0.3,0.0876673446465888,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"134",0.44,0.099259010591144,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"135",0.63,0.117855191815857,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"136",1.67,0.253610941282292,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"137",1.1,0.168504155947159,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"138",0.93,0.157110064078685,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"139",0.6,0.120988643656674,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"140",0.56,0.119322884130064,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"141",0.44,0.085160400210475,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"142",0.2306,0.0781770333490095,"Chure & Cremer 2023","Li et al., 2018","#1B9E77",11
"143",0.0671641791044776,0.0595885321100915,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"144",0.194029850746269,0.058543119266055,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"145",0.126865671641791,0.062724770642202,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"146",0.149253731343283,0.0648155963302751,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"147",0.194029850746269,0.0721334862385321,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"148",0.253731343283582,0.0742243119266056,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"149",0.291044776119403,0.0731788990825687,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"150",0.328358208955224,0.0784059633027522,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"151",0.365671641791045,0.0867692660550458,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"152",0.395522388059701,0.0836330275229357,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"153",0.440298507462687,0.0867692660550458,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"154",0.455223880597015,0.0878146788990828,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"155",0.552238805970149,0.102450458715596,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"156",0.574626865671642,0.103495871559633,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"157",0.619402985074627,0.0993142201834864,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"158",0.619402985074627,0.0961779816513763,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
"159",0.716417910447761,0.112904587155963,"Chure & Cremer 2023","Mori et al., 2017","#1B9E77",12
