"lambda","phi_Rb","name","source"
0.693147180559945,0.103,"Chure & Cremer 2023","Bremer & Dennis, 2008"
1.03972077083992,0.151,"Chure & Cremer 2023","Bremer & Dennis, 2008"
1.38629436111989,0.178,"Chure & Cremer 2023","Bremer & Dennis, 2008"
1.73286795139986,0.215,"Chure & Cremer 2023","Bremer & Dennis, 2008"
2.07944154168,0.2511737089,"Chure & Cremer 2023","Bremer & Dennis, 2008"
0.38,0.086,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971"
0.6,0.102,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971"
1.04,0.134,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971"
1.46,0.192,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971"
1.73,0.214,"Chure & Cremer 2023","Forchhammer & Lindahl, 1971"
0.4,0.081,"Chure & Cremer 2023","Scott et al., 2010"
0.57,0.105,"Chure & Cremer 2023","Scott et al., 2010"
0.71,0.101,"Chure & Cremer 2023","Scott et al., 2010"
1,0.131,"Chure & Cremer 2023","Scott et al., 2010"
1.31,0.189,"Chure & Cremer 2023","Scott et al., 2010"
1.58,0.212,"Chure & Cremer 2023","Scott et al., 2010"
0.409,0.077,"Chure & Cremer 2023","Brunschede et al., 1977"
0.409,0.086,"Chure & Cremer 2023","Brunschede et al., 1977"
0.492,0.095,"Chure & Cremer 2023","Brunschede et al., 1977"
0.492,0.1,"Chure & Cremer 2023","Brunschede et al., 1977"
0.513,0.067,"Chure & Cremer 2023","Brunschede et al., 1977"
0.478,0.077,"Chure & Cremer 2023","Brunschede et al., 1977"
0.478,0.081,"Chure & Cremer 2023","Brunschede et al., 1977"
0.679,0.048,"Chure & Cremer 2023","Brunschede et al., 1977"
0.866,0.123,"Chure & Cremer 2023","Brunschede et al., 1977"
0.866,0.135,"Chure & Cremer 2023","Brunschede et al., 1977"
0.866,0.137,"Chure & Cremer 2023","Brunschede et al., 1977"
0.943,0.149,"Chure & Cremer 2023","Brunschede et al., 1977"
0.943,0.163,"Chure & Cremer 2023","Brunschede et al., 1977"
1.428,0.196,"Chure & Cremer 2023","Brunschede et al., 1977"
1.428,0.191,"Chure & Cremer 2023","Brunschede et al., 1977"
0.04,0.044,"Chure & Cremer 2023","Wu et al., 2022"
0.135,0.054,"Chure & Cremer 2023","Wu et al., 2022"
0.204,0.059,"Chure & Cremer 2023","Wu et al., 2022"
0.232,0.061,"Chure & Cremer 2023","Wu et al., 2022"
0.293,0.067,"Chure & Cremer 2023","Wu et al., 2022"
0.334,0.069,"Chure & Cremer 2023","Wu et al., 2022"
0.341,0.069,"Chure & Cremer 2023","Wu et al., 2022"
0.381,0.073,"Chure & Cremer 2023","Wu et al., 2022"
0.412,0.079,"Chure & Cremer 2023","Wu et al., 2022"
0.462,0.079,"Chure & Cremer 2023","Wu et al., 2022"
0.502,0.084,"Chure & Cremer 2023","Wu et al., 2022"
0.551,0.088,"Chure & Cremer 2023","Wu et al., 2022"
0.691,0.1,"Chure & Cremer 2023","Wu et al., 2022"
0.72,0.099,"Chure & Cremer 2023","Wu et al., 2022"
0.701,0.104,"Chure & Cremer 2023","Wu et al., 2022"
0.691,0.104,"Chure & Cremer 2023","Wu et al., 2022"
0.75,0.107,"Chure & Cremer 2023","Wu et al., 2022"
0.918,0.116,"Chure & Cremer 2023","Wu et al., 2022"
0.949,0.125,"Chure & Cremer 2023","Wu et al., 2022"
0.989,0.123,"Chure & Cremer 2023","Wu et al., 2022"
0.98,0.135,"Chure & Cremer 2023","Wu et al., 2022"
0.13,0.063,"Chure & Cremer 2023","Erickson et al., 2017"
0.19,0.072,"Chure & Cremer 2023","Erickson et al., 2017"
0.61,0.097,"Chure & Cremer 2023","Erickson et al., 2017"
0.91,0.139,"Chure & Cremer 2023","Erickson et al., 2017"
0.91,0.124,"Chure & Cremer 2023","Erickson et al., 2017"
0.62,0.096,"Chure & Cremer 2023","Erickson et al., 2017"
0.79,0.133,"Chure & Cremer 2023","Erickson et al., 2017"
1.04,0.142,"Chure & Cremer 2023","Erickson et al., 2017"
0.93,0.138,"Chure & Cremer 2023","Erickson et al., 2017"
0.71,0.113,"Chure & Cremer 2023","Erickson et al., 2017"
0.45,0.089,"Chure & Cremer 2023","Erickson et al., 2017"
0.98,0.14,"Chure & Cremer 2023","Erickson et al., 2017"
0.06,0.06,"Chure & Cremer 2023","Erickson et al., 2017"
0.16,0.065,"Chure & Cremer 2023","Erickson et al., 2017"
0.25,0.073,"Chure & Cremer 2023","Erickson et al., 2017"
0.4,0.084,"Chure & Cremer 2023","Erickson et al., 2017"
0.29,0.074,"Chure & Cremer 2023","Erickson et al., 2017"
0.43,0.086,"Chure & Cremer 2023","Erickson et al., 2017"
0.55,0.103,"Chure & Cremer 2023","Erickson et al., 2017"
0.31,0.1,"Chure & Cremer 2023","Erickson et al., 2017"
0.79,0.129,"Chure & Cremer 2023","Erickson et al., 2017"
0.18,0.059,"Chure & Cremer 2023","Erickson et al., 2017"
0.32,0.078,"Chure & Cremer 2023","Erickson et al., 2017"
